game_id,selected,Goalkeeper,Defender,Midfielder,Attacker,transfers_balance,avg_team_strength_next_X,minutes,points_next_X
5924,619128,0,1,0,0,38099,3.666666667,90,1.333333333
6476,632967,0,1,0,0,12717,4,90,1
7029,619629,0,1,0,0,-12889,3.666666667,90,2.333333333
7585,614095,0,1,0,0,-7265,2.666666667,90,2
8143,720517,0,1,0,0,86327,2.333333333,90,2
8702,762089,0,1,0,0,48566,2.333333333,90,0
9264,553813,0,1,0,0,-200980,3.333333333,45,0
9829,440943,0,1,0,0,-115459,3,0,0
10397,391198,0,1,0,0,-52009,3.333333333,0,0.333333333
10965,376417,0,1,0,0,-16471,3,0,4
11535,354461,0,1,0,0,-22342,3,0,4
12109,351729,0,1,0,0,-4116,3.666666667,21,3.666666667
12688,327662,0,1,0,0,-24134,3,71,0
13271,316576,0,1,0,0,-11256,3,0,0
13925,305863,0,1,0,0,-11079,2.333333333,0,0
14525,298240,0,1,0,0,-7662,3.333333333,0,0
15009,296602,0,1,0,0,-2146,4,0,0
15614,293764,0,1,0,0,-2855,4,0,0
16220,291412,0,1,0,0,-2410,3.333333333,0,0
17134,287469,0,1,0,0,-1967,3,0,0
18036,286476,0,1,0,0,-1110,2.666666667,0,0
18409,285646,0,1,0,0,-934,2.666666667,0,0
19086,284484,0,1,0,0,-1201,2.666666667,0,0
5,44811,0,1,0,0,0,4,0,3.666666667
530,36147,0,1,0,0,-9556,3,0,3.666666667
1057,46967,0,1,0,0,7407,2.666666667,90,4
1588,105115,0,1,0,0,45778,2.666666667,90,2.666666667
2125,106453,0,1,0,0,471,3,90,4.666666667
2662,110773,0,1,0,0,2757,2.666666667,90,5.666666667
3200,129735,0,1,0,0,14712,2.666666667,90,3.666666667
3739,137768,0,1,0,0,7587,2.333333333,90,1.666666667
4281,152737,0,1,0,0,12353,3.333333333,90,0
4827,116562,0,1,0,0,-33538,3.333333333,0,0
5375,88301,0,1,0,0,-29634,3.666666667,0,0
5925,74619,0,1,0,0,-14513,3.666666667,0,0
6477,62197,0,1,0,0,-12587,4,0,0
7030,56402,0,1,0,0,-6274,3.666666667,0,0.333333333
7586,52574,0,1,0,0,-3909,2.666666667,0,2
8144,50340,0,1,0,0,-2299,2.333333333,0,2.333333333
8703,53149,0,1,0,0,2202,2.333333333,24,2
9265,103908,0,1,0,0,47454,3.333333333,90,0.333333333
9830,73171,0,1,0,0,-27244,3,36,0
10398,58591,0,1,0,0,-15088,3.333333333,0,0
10966,54258,0,1,0,0,-4819,3,0,0
11536,48673,0,1,0,0,-5656,3,0,0.333333333
12110,47234,0,1,0,0,-1624,3.666666667,0,2
12689,47748,0,1,0,0,237,3,0,2.666666667
13272,47042,0,1,0,0,-643,3,90,2.333333333
13926,56783,0,1,0,0,8729,2.333333333,90,1.333333333
14526,68034,0,1,0,0,5114,3.333333333,90,1.333333333
15010,58691,0,1,0,0,-3042,4,0,3.333333333
15615,54816,0,1,0,0,-3920,4,90,4.333333333
16221,52983,0,1,0,0,-1955,3.333333333,90,4
17135,53226,0,1,0,0,487,3,90,4.666666667
18037,64014,0,1,0,0,8434,2.666666667,90,3
18410,68097,0,1,0,0,5730,2.666666667,90,2.666666667
19088,115187,0,1,0,0,41143,2.666666667,90,0
6,29752,0,1,0,0,0,4,0,0
531,34584,0,1,0,0,-3242,3,0,0
1058,31627,0,1,0,0,-4118,2.666666667,0,0
1589,29855,0,1,0,0,-2865,2.666666667,0,0.333333333
2126,28592,0,1,0,0,-1982,3,0,3.333333333
2663,27951,0,1,0,0,-1096,2.666666667,0,4
3201,27855,0,1,0,0,-516,2.666666667,51,4
3740,31920,0,1,0,0,3076,2.333333333,90,1.333333333
4282,35317,0,1,0,0,2838,3.333333333,90,2
4828,37179,0,1,0,0,1489,3.333333333,90,2.333333333
5376,37398,0,1,0,0,-16,3.666666667,90,2.666666667
5926,48849,0,1,0,0,9765,3.666666667,90,1.666666667
6478,51185,0,1,0,0,2438,4,90,1.333333333
7031,51809,0,1,0,0,494,3.666666667,90,0.666666667
7587,54139,0,1,0,0,2053,2.666666667,90,0.333333333
8145,43793,0,1,0,0,-9837,2.333333333,35,0
8704,35665,0,1,0,0,-8591,2.333333333,0,0
9266,32498,0,1,0,0,-3487,3.333333333,0,0
9831,30605,0,1,0,0,-1956,3,0,0
10399,29237,0,1,0,0,-1413,3.333333333,0,0
10967,28466,0,1,0,0,-857,3,0,0
11537,27442,0,1,0,0,-1128,3,0,0
12111,26727,0,1,0,0,-785,3.666666667,0,0
12690,26264,0,1,0,0,-539,3,0,0
13273,26031,0,1,0,0,-261,3,0,0
13927,25696,0,1,0,0,-380,2.333333333,0,0
14527,25361,0,1,0,0,-374,3.333333333,0,0
15011,25289,0,1,0,0,-131,4,0,0
15616,25167,0,1,0,0,-142,4,0,0
16222,25069,0,1,0,0,-141,3.333333333,0,0
17136,24911,0,1,0,0,-115,3,0,0
18038,24883,0,1,0,0,-69,2.666666667,0,0
18411,24852,0,1,0,0,-66,2.666666667,0,0
19090,24812,0,1,0,0,-79,2.666666667,0,0
7,66040,0,1,0,0,0,4,0,1
532,70396,0,1,0,0,-5669,3,90,3.333333333
1059,64320,0,1,0,0,-8592,2.666666667,90,4
1590,62683,0,1,0,0,-3917,2.666666667,90,5.333333333
2127,70029,0,1,0,0,3049,3,90,4.333333333
2664,71115,0,1,0,0,-141,2.666666667,90,4.333333333
3202,79261,0,1,0,0,5493,2.666666667,90,3
3741,83209,0,1,0,0,2580,2.333333333,90,1.666666667
4283,81957,0,1,0,0,-1946,3.333333333,90,1.666666667
4829,80912,0,1,0,0,-1645,3.333333333,90,1.666666667
5377,77269,0,1,0,0,-4036,3.666666667,90,2
5927,79573,0,1,0,0,1029,3.666666667,90,1.333333333
6479,79552,0,1,0,0,-651,4,90,3
7032,78253,0,1,0,0,-1546,3.666666667,90,4
7588,76706,0,1,0,0,-1888,2.666666667,70,4
8146,116107,0,1,0,0,31413,2.333333333,90,1.666666667
8705,80543,0,1,0,0,-28046,2.333333333,65,0
9267,74024,0,1,0,0,-7765,3.333333333,0,-0.333333333
9832,68090,0,1,0,0,-6133,3,0,0
10400,63652,0,1,0,0,-4612,3.333333333,0,0
10968,64163,0,1,0,0,-168,3,45,0.333333333
11538,59633,0,1,0,0,-4425,3,45,0.666666667
12112,58648,0,1,0,0,-1296,3.666666667,58,1
12691,61803,0,1,0,0,2411,3,0,1.666666667
13274,60724,0,1,0,0,-984,3,90,3
13928,58930,0,1,0,0,-1959,2.333333333,78,2.666666667
14528,69262,0,1,0,0,4773,3.333333333,90,2.666666667
15012,65930,0,1,0,0,1320,4,90,0.666666667
15617,63099,0,1,0,0,-2798,4,0,3.333333333
16223,62217,0,1,0,0,-1126,3.333333333,90,3
17137,61612,0,1,0,0,-55,3,0,5.333333333
18039,65502,0,1,0,0,2957,2.666666667,90,2.666666667
18412,68088,0,1,0,0,2845,2.666666667,90,2.333333333
19092,104227,0,1,0,0,30836,2.666666667,90,0.333333333
8,32166,0,1,0,0,0,4,0,0
533,24101,0,1,0,0,-9293,3,0,0
1060,19874,0,1,0,0,-4863,2.666666667,0,0
1591,17901,0,1,0,0,-2366,2.666666667,0,0
2128,16607,0,1,0,0,-1492,3,0,0
2665,16113,0,1,0,0,-647,2.666666667,0,0
3203,15953,0,1,0,0,-332,2.666666667,0,0
3742,16343,0,1,0,0,92,2.333333333,0,0
4284,16706,0,1,0,0,-2,3.333333333,0,0.666666667
4830,16387,0,1,0,0,-405,3.333333333,0,1.333333333
5378,16068,0,1,0,0,-412,3.666666667,0,5
5928,18850,0,1,0,0,2275,3.666666667,80,4.666666667
6480,19825,0,1,0,0,740,4,75,4.333333333
7033,28402,0,1,0,0,7683,3.666666667,90,3.333333333
7589,37703,0,1,0,0,8782,2.666666667,90,3
8147,145750,0,1,0,0,98343,2.333333333,90,4.666666667
8706,271443,0,1,0,0,123341,2.333333333,90,2.333333333
9268,209676,0,1,0,0,-53396,3.333333333,0,2.333333333
9833,272660,0,1,0,0,54618,3,90,2.666666667
10401,228133,0,1,0,0,-39769,3.333333333,90,2.666666667
10969,238780,0,1,0,0,5100,3,80,4.666666667
11539,258252,0,1,0,0,17582,3,90,4
12113,222767,0,1,0,0,-34594,3.666666667,90,4
12692,306534,0,1,0,0,77666,3,90,2.666666667
13275,308352,0,1,0,0,10233,3,90,3.666666667
13929,375506,0,1,0,0,56868,2.333333333,65,4.666666667
14529,477942,0,1,0,0,63984,3.333333333,90,4
15013,466550,0,1,0,0,25460,4,90,3
15618,423404,0,1,0,0,-41668,4,56,3.333333333
16224,369717,0,1,0,0,-53750,3.333333333,0,3.666666667
17138,338126,0,1,0,0,3669,3,90,2
18040,412887,0,1,0,0,49357,2.666666667,90,0.666666667
18413,425846,0,1,0,0,18025,2.666666667,45,0.666666667
19094,475037,0,1,0,0,43952,2.666666667,0,1
10,10713,0,1,0,0,0,4,0,0
535,10573,0,1,0,0,-1679,3,0,0
1062,9312,0,1,0,0,-1632,2.666666667,0,0
1593,8291,0,1,0,0,-1247,2.666666667,0,0
2130,7851,0,1,0,0,-762,3,0,0
2667,7652,0,1,0,0,-436,2.666666667,0,0
3205,7198,0,1,0,0,-579,2.666666667,0,0
3744,6754,0,1,0,0,-480,2.333333333,0,0
4286,6362,0,1,0,0,-439,3.333333333,0,0
4832,6222,0,1,0,0,-198,3.333333333,0,0
5380,6103,0,1,0,0,-169,3.666666667,0,0
5930,6010,0,1,0,0,-136,3.666666667,0,0
6482,5904,0,1,0,0,-143,4,0,0
7035,5885,0,1,0,0,-42,3.666666667,0,0
7591,5856,0,1,0,0,-50,2.666666667,0,0
8149,5824,0,1,0,0,-52,2.333333333,0,0
8708,5782,0,1,0,0,-80,2.333333333,0,0
9270,5777,0,1,0,0,-52,3.333333333,0,0
9835,5755,0,1,0,0,-77,3,0,0
10403,5754,0,1,0,0,-41,3.333333333,0,0
10971,5743,0,1,0,0,-46,3,0,0
11541,5759,0,1,0,0,-67,3,0,0
12115,5746,0,1,0,0,-47,3.666666667,0,0.333333333
